incident nummer,Incident categorie,totale minuten open,Prioriteit incident
1188554,Functioneel beheer,4072,E8
1188557,Functioneel beheer,331278,E8
1188560,2e lijns (Doorgezette incidenten),2,E8
1188560,Functioneel beheer,331270,E8
1188562,2e lijns (Doorgezette incidenten),3,E8
1188562,Functioneel beheer,331269,E8
1188564,2e lijns (Doorgezette incidenten),2,E8
1188564,Functioneel beheer,331264,E8
1188568,2e lijns (Doorgezette incidenten),2,E8
1188568,Functioneel beheer,331270,E8
1188571,2e lijns (Doorgezette incidenten),3,E8
1188571,Functioneel beheer,331244,E8
1188572,Functioneel beheer,331218,E8
1188575,Functioneel beheer,331221,E8
1188576,2e lijns (Doorgezette incidenten),2,E8
1188576,Functioneel beheer,331193,E8
1188579,Functioneel beheer,329735,E8
1188585,Functioneel beheer,328288,EW
1188587,Functioneel beheer,327446,E8
1188588,Functioneel beheer,327443,E8
1188590,Functioneel beheer,327433,E8
1188591,Functioneel beheer,327422,E8
1188592,Functioneel beheer,327413,E8
1188593,Functioneel beheer,327402,E8
1188594,Functioneel beheer,327405,E8
1188595,Functioneel beheer,327397,E8
1188597,Functioneel beheer,327396,E8
1188598,Functioneel beheer,327395,E8
1188599,Functioneel beheer,327394,E8
1188600,Functioneel beheer,327393,E8
1188601,Functioneel beheer,327402,E8
1188603,Functioneel beheer,327389,E8
1188609,Functioneel beheer,327383,E8
1188610,Functioneel beheer,327383,E8
1188613,Functioneel beheer,327388,E8
1188615,Functioneel beheer,327379,E8
1188616,Functioneel beheer,327386,E8
1188617,Functioneel beheer,327379,E8
1188618,Functioneel beheer,327384,E8
1188623,Functioneel beheer,327374,E8
1188625,Functioneel beheer,327377,E8
1188631,Functioneel beheer,327370,E8
1188632,Functioneel beheer,327365,E8
1188633,Functioneel beheer,327365,E8
1188637,Functioneel beheer,327361,E8
1188638,Functioneel beheer,327360,E8
1188640,Functioneel beheer,327358,E8
1188647,Functioneel beheer,327353,E8
1188650,Functioneel beheer,327351,E8
1188653,Functioneel beheer,327349,E8
1188654,Functioneel beheer,327348,E8
1188657,2e lijns (Doorgezette incidenten),1,E8
1188658,2e lijns (Doorgezette incidenten),6,E8
1188661,Functioneel beheer,197434,E8
1188663,Functioneel beheer,197431,EW
1188664,Functioneel beheer,197431,E8
1188666,Functioneel beheer,197425,E8
1188669,Functioneel beheer,197422,E8
1188673,2e lijns (Doorgezette incidenten),1,E8
1188676,1e lijns beheer (Helpdesk),2,E8
1188680,Functioneel beheer,14,E8
1188682,1e lijns beheer (Helpdesk),7,E8
1188684,2e lijns (Doorgezette incidenten),55,E8
1188688,2e lijns (Doorgezette incidenten),1,E8
1188691,Functioneel beheer,43360,E8
1188693,3e lijns (Technische incidenten),43416,EW
1188694,Functioneel beheer,43578,E8
1188695,Hardware / Werkplekbeheer,43149,EW
1188696,1e lijns beheer (Helpdesk),43073,E8
1188697,2e lijns (Doorgezette incidenten),4,E8
1188698,Functioneel beheer,57,E8
1188701,2e lijns (Doorgezette incidenten),34,E8
1188702,Hardware / Werkplekbeheer,20456,E8
1188703,2e lijns (Doorgezette incidenten),20479,EW
1188705,3e lijns (Technische incidenten),20183,EW
1188708,3e lijns (Technische incidenten),20182,EW
1188710,Hardware / Werkplekbeheer,20365,E8
1188712,2e lijns (Doorgezette incidenten),20408,EW
1188714,3e lijns (Technische incidenten),20172,E8
1188715,Functioneel beheer,1,E8
1188717,Functioneel beheer,2,E8
1188718,Functioneel beheer,10,E8
1188720,1e lijns beheer (Helpdesk),15,E8
1188721,Functioneel beheer,10087,E8
1188722,2e lijns (Doorgezette incidenten),10078,E8
1188724,2e lijns (Doorgezette incidenten),9956,E8
1188725,Functioneel beheer,10090,E8
1188727,2e lijns (Doorgezette incidenten),10433,E8
1188728,2e lijns (Doorgezette incidenten),4,E8
1188730,Hardware / Werkplekbeheer,124,E8
1188733,2e lijns (Doorgezette incidenten),4,E8
1188734,2e lijns (Doorgezette incidenten),3,E8
1188735,3e lijns (Technische incidenten),96656,E8
1188848,3e lijns (Technische incidenten),96657,E8
1188861,3e lijns (Technische incidenten),96652,E8
1188865,2e lijns (Doorgezette incidenten),106707,E8
1188868,3e lijns (Technische incidenten),106555,EW
1188872,3e lijns (Technische incidenten),106620,E8
1188873,3e lijns (Technische incidenten),106617,E8
1188875,3e lijns (Technische incidenten),106611,EW
1188876,3e lijns (Technische incidenten),106610,EW
1188878,3e lijns (Technische incidenten),106605,E8
1188879,3e lijns (Technische incidenten),106602,E8
1188881,3e lijns (Technische incidenten),106597,E8
1188882,3e lijns (Technische incidenten),106857,E8
1188889,3e lijns (Technische incidenten),106844,E8
1188890,3e lijns (Technische incidenten),106575,E8
1188891,3e lijns (Technische incidenten),106575,EW
1188894,Functioneel beheer,96384,E8
1188900,3e lijns (Technische incidenten),96581,E8
1188901,2e lijns (Doorgezette incidenten),96577,E8
1188902,3e lijns (Technische incidenten),96459,E8
1188903,Hardware / Werkplekbeheer,96412,E8
1188904,3e lijns (Technische incidenten),96574,EW
1188905,3e lijns (Technische incidenten),96572,E8
1188907,2e lijns (Doorgezette incidenten),96621,E8
1188909,3e lijns (Technische incidenten),96578,E8
1188910,3e lijns (Technische incidenten),96589,EW
1188911,3e lijns (Technische incidenten),96571,E8
1188912,3e lijns (Technische incidenten),96433,E8
1188923,2e lijns (Doorgezette incidenten),96609,E8
1188924,2e lijns (Doorgezette incidenten),96559,E8
1188926,3e lijns (Technische incidenten),96557,EW
1188938,3e lijns (Technische incidenten),96559,E8
1188940,3e lijns (Technische incidenten),96734,EW
1188941,2e lijns (Doorgezette incidenten),96538,EW
1188942,3e lijns (Technische incidenten),96534,E8
1188944,3e lijns (Technische incidenten),96531,E8
1188945,3e lijns (Technische incidenten),96525,E8
1188946,3e lijns (Technische incidenten),96524,EW
1188948,2e lijns (Doorgezette incidenten),96549,EW
1188950,3e lijns (Technische incidenten),96705,E8
1188953,3e lijns (Technische incidenten),96701,E8
1188954,3e lijns (Technische incidenten),96506,E8
1188955,3e lijns (Technische incidenten),96501,E8
1188957,3e lijns (Technische incidenten),96492,EW
1188958,3e lijns (Technische incidenten),96482,E8
1188960,3e lijns (Technische incidenten),96481,E8
1188963,3e lijns (Technische incidenten),96370,EW
1188964,3e lijns (Technische incidenten),96368,EW
1188966,3e lijns (Technische incidenten),96473,E8
1188969,3e lijns (Technische incidenten),96460,E8
1188971,2e lijns (Doorgezette incidenten),92,E8
1188972,2e lijns (Doorgezette incidenten),50,E8
1188974,2e lijns (Doorgezette incidenten),2,E8
1188976,2e lijns (Doorgezette incidenten),166,E8
1188977,1e lijns beheer (Helpdesk),7,E8
1188978,2e lijns (Doorgezette incidenten),11,E8
1188979,2e lijns (Doorgezette incidenten),10,E8
1188981,2e lijns (Doorgezette incidenten),36,E8
1188982,1e lijns beheer (Helpdesk),5,E8
1188983,Hardware / Werkplekbeheer,2530,E8
1188985,Hardware / Werkplekbeheer,67,E8
1188987,1e lijns beheer (Helpdesk),1,E8
1188988,2e lijns (Doorgezette incidenten),3,E8
1188993,Hardware / Werkplekbeheer,2851,E8
1188994,1e lijns beheer (Helpdesk),7,E8
1188995,1e lijns beheer (Helpdesk),4,E8
1188999,2e lijns (Doorgezette incidenten),105,E8
1189001,2e lijns (Doorgezette incidenten),4,E8
1189002,Telefonie / Communicatie,42,E8
1189003,2e lijns (Doorgezette incidenten),40,E8
1189005,1e lijns beheer (Helpdesk),3,E8
1189006,Telefonie / Communicatie,81,E8
1189009,1e lijns beheer (Helpdesk),1,E8
1189011,Hardware / Werkplekbeheer,4065,E8
1189012,1e lijns beheer (Helpdesk),1,E8
1189014,2e lijns (Doorgezette incidenten),1,E8
1189015,3e lijns (Technische incidenten),26021,E8
1189017,Functioneel beheer,25593,EW
1189018,Hardware / Werkplekbeheer,25638,E8
1189019,3e lijns (Technische incidenten),25538,E8
1189020,Hardware / Werkplekbeheer,25852,E8
1189023,3e lijns (Technische incidenten),26012,E8
1189024,3e lijns (Technische incidenten),26011,E8
1189026,3e lijns (Technische incidenten),26011,E8
1189027,3e lijns (Technische incidenten),26009,E8
1189028,3e lijns (Technische incidenten),26001,E8
1189029,Hardware / Werkplekbeheer,25837,EW
1189030,Hardware / Werkplekbeheer,25838,E8
1189031,3e lijns (Technische incidenten),25997,E8
1189032,3e lijns (Technische incidenten),25995,E8
1189034,3e lijns (Technische incidenten),25995,E8
1189035,3e lijns (Technische incidenten),25997,E8
1189036,3e lijns (Technische incidenten),25994,EW
1189039,3e lijns (Technische incidenten),25991,EW
1189042,3e lijns (Technische incidenten),25978,E8
1189043,Functioneel beheer,1,E8
1189046,Functioneel beheer,2,E8
1189047,Functioneel beheer,20,E8
1189049,1e lijns beheer (Helpdesk),48,E8
1189051,2e lijns (Doorgezette incidenten),1,E8
1189053,2e lijns (Doorgezette incidenten),1,E8
1189054,1e lijns beheer (Helpdesk),36,E8
1189055,2e lijns (Doorgezette incidenten),4,E8
1189056,Functioneel beheer,12,E8
1189061,Telefonie / Communicatie,88,E8
1189063,2e lijns (Doorgezette incidenten),14,E8
1189064,2e lijns (Doorgezette incidenten),65,E8
1189069,Functioneel beheer,2,E8
1189070,2e lijns (Doorgezette incidenten),4,E8
1189072,Hardware / Werkplekbeheer,81,E8
1189077,2e lijns (Doorgezette incidenten),1,E8
1189078,2e lijns (Doorgezette incidenten),2,E8
1189082,2e lijns (Doorgezette incidenten),4,E8
1189084,2e lijns (Doorgezette incidenten),4,E8
1189087,Hardware / Werkplekbeheer,47,E8
1189089,2e lijns (Doorgezette incidenten),11,E8
1189091,1e lijns beheer (Helpdesk),2,E8
1189092,1e lijns beheer (Helpdesk),9,E8
1189093,Hardware / Werkplekbeheer,63,E8
1189096,2e lijns (Doorgezette incidenten),2,E8
1189097,2e lijns (Doorgezette incidenten),1,E8
1189098,1e lijns beheer (Helpdesk),2,E8
1189099,2e lijns (Doorgezette incidenten),3,E8
1189100,2e lijns (Doorgezette incidenten),1,E8
1189102,2e lijns (Doorgezette incidenten),25,E8
1189103,Functioneel beheer,3,E8
1189104,2e lijns (Doorgezette incidenten),1,E8
1189105,2e lijns (Doorgezette incidenten),15,E8
1189106,Hardware / Werkplekbeheer,1112,E8
1189109,2e lijns (Doorgezette incidenten),4,E8
1189113,2e lijns (Doorgezette incidenten),1,E8
1189115,2e lijns (Doorgezette incidenten),4,E8
1189119,2e lijns (Doorgezette incidenten),2,E8
1189122,Functioneel beheer,175292,E8
1189123,Functioneel beheer,174386,E8
1189125,Functioneel beheer,174365,E8
1189126,Functioneel beheer,174360,E8
1189130,Functioneel beheer,174352,E8
1189134,2e lijns (Doorgezette incidenten),5,E8
1189136,Functioneel beheer,3,E8
1189139,Functioneel beheer,328,E8
1189141,2e lijns (Doorgezette incidenten),4,E8
1189143,1e lijns beheer (Helpdesk),1,E8
1189145,Hardware / Werkplekbeheer,38,E8
1189146,Functioneel beheer,1,E8
1189147,2e lijns (Doorgezette incidenten),1,E8
1189148,2e lijns (Doorgezette incidenten),20,E8
1189151,1e lijns beheer (Helpdesk),7,E8
1189153,Hardware / Werkplekbeheer,201,E8
1189154,3e lijns (Technische incidenten),13400,E8
1189156,2e lijns (Doorgezette incidenten),5,E8
1189157,Hardware / Werkplekbeheer,29,E8
1189159,1e lijns beheer (Helpdesk),15,E8
1189168,2e lijns (Doorgezette incidenten),4342,E8
1189171,2e lijns (Doorgezette incidenten),1894,E8
1189192,Telefonie / Communicatie,185829,E8
1189193,Functioneel beheer,186024,E8
1189195,3e lijns (Technische incidenten),185856,E8
1189199,Functioneel beheer,285076,E8
1189222,Functioneel beheer,175371,E8
1189224,Hardware / Werkplekbeheer,239,E8
1189225,1e lijns beheer (Helpdesk),3,E8
1189226,2e lijns (Doorgezette incidenten),37,E8
1189230,1e lijns beheer (Helpdesk),3,E8
1189234,1e lijns beheer (Helpdesk),29,E8
1189236,Functioneel beheer,11,E8
1189237,2e lijns (Doorgezette incidenten),3,E8
1189238,Functioneel beheer,2,E8
1189239,Hardware / Werkplekbeheer,156,E8
1189241,2e lijns (Doorgezette incidenten),4,E8
1189242,2e lijns (Doorgezette incidenten),93,E8
1189244,2e lijns (Doorgezette incidenten),17,E8
1189245,2e lijns (Doorgezette incidenten),1,E8
1189246,Hardware / Werkplekbeheer,168,E8
1189247,2e lijns (Doorgezette incidenten),1,E8
1189249,1e lijns beheer (Helpdesk),4,E8
1189250,1e lijns beheer (Helpdesk),2,E8
1189252,2e lijns (Doorgezette incidenten),240,E8
1189253,Telefonie / Communicatie,286,E8
1189256,2e lijns (Doorgezette incidenten),5,E8
1189258,1e lijns beheer (Helpdesk),5,E8
1189263,Hardware / Werkplekbeheer,1452,E8
1189268,1e lijns beheer (Helpdesk),5,E8
1189274,Hardware / Werkplekbeheer,124,E8
1189276,2e lijns (Doorgezette incidenten),8,E8
1189277,3e lijns (Technische incidenten),20375,E8
1189278,3e lijns (Technische incidenten),20067,E8
1189280,3e lijns (Technische incidenten),20087,E8
1189281,2e lijns (Doorgezette incidenten),8,E8
1189284,2e lijns (Doorgezette incidenten),7,E8
1189285,1e lijns beheer (Helpdesk),1,E8
1189287,2e lijns (Doorgezette incidenten),1457,E8
1189289,2e lijns (Doorgezette incidenten),1,E8
1189293,1e lijns beheer (Helpdesk),18,E8
1189294,2e lijns (Doorgezette incidenten),167,E8
1189296,2e lijns (Doorgezette incidenten),82,E8
1189297,2e lijns (Doorgezette incidenten),5,E8
1189299,2e lijns (Doorgezette incidenten),25,E8
1189301,Functioneel beheer,2,E8
1189303,2e lijns (Doorgezette incidenten),6,E8
1189304,2e lijns (Doorgezette incidenten),283,E8
1189306,Functioneel beheer,2,E8
1189308,2e lijns (Doorgezette incidenten),25,E8
1189310,Functioneel beheer,13,E8
1189314,2e lijns (Doorgezette incidenten),4174,E8
1189316,Telefonie / Communicatie,4418,E8
1189318,Hardware / Werkplekbeheer,4147,E8
1189322,Functioneel beheer,7,E8
1189324,2e lijns (Doorgezette incidenten),14,E8
1189327,Hardware / Werkplekbeheer,49,E8
1189328,Functioneel beheer,4,E8
1189329,2e lijns (Doorgezette incidenten),5,E8
1189332,Functioneel beheer,2,E8
1189333,Functioneel beheer,92,E8
1189334,Functioneel beheer,81,E8
1189335,1e lijns beheer (Helpdesk),7,E8
1189336,1e lijns beheer (Helpdesk),2,E8
1189337,2e lijns (Doorgezette incidenten),66,E8
1189340,Functioneel beheer,1222,E8
1189341,Functioneel beheer,11,E8
1189343,2e lijns (Doorgezette incidenten),233,E8
1189344,2e lijns (Doorgezette incidenten),161,E8
1189345,2e lijns (Doorgezette incidenten),4064,E8
1189346,2e lijns (Doorgezette incidenten),1,E8
1189347,2e lijns (Doorgezette incidenten),2,E8
1189348,2e lijns (Doorgezette incidenten),1,E8
1189349,Functioneel beheer,7,E8
1189350,2e lijns (Doorgezette incidenten),15,E8
1189351,2e lijns (Doorgezette incidenten),3,E8
1189352,Functioneel beheer,38,E8
1189354,2e lijns (Doorgezette incidenten),3,E8
1189355,2e lijns (Doorgezette incidenten),7,E8
1189356,1e lijns beheer (Helpdesk),3,E8
1189359,Telefonie / Communicatie,1163,E8
1189360,1e lijns beheer (Helpdesk),2,E8
1189362,2e lijns (Doorgezette incidenten),93,E8
1189365,Hardware / Werkplekbeheer,1046,E8
1189366,2e lijns (Doorgezette incidenten),2,E8
1189367,2e lijns (Doorgezette incidenten),1,E8
1189369,2e lijns (Doorgezette incidenten),16,E8
1189370,1e lijns beheer (Helpdesk),2,E8
1189371,2e lijns (Doorgezette incidenten),1,E8
1189373,Functioneel beheer,2,E8
1189374,Functioneel beheer,4,E8
1189375,Hardware / Werkplekbeheer,2496,E8
1189376,Hardware / Werkplekbeheer,2573,E8
1189378,Telefonie / Communicatie,2571,E8
1189379,Hardware / Werkplekbeheer,2569,E8
1189381,Hardware / Werkplekbeheer,9751,E8
1189383,2e lijns (Doorgezette incidenten),2,E8
1189389,Functioneel beheer,25,E8
1189390,2e lijns (Doorgezette incidenten),9,E8
1189393,1e lijns beheer (Helpdesk),6,E8
1189394,2e lijns (Doorgezette incidenten),53,E8
1189396,1e lijns beheer (Helpdesk),74,E8
1189397,2e lijns (Doorgezette incidenten),8371,E8
1189398,2e lijns (Doorgezette incidenten),1000,E8
1189399,Telefonie / Communicatie,86,E8
1189400,1e lijns beheer (Helpdesk),3,E8
1189402,Functioneel beheer,2,E8
1189405,2e lijns (Doorgezette incidenten),21405,E8
1189406,Functioneel beheer,144081,E8
1189407,Functioneel beheer,144080,E8
1189408,Functioneel beheer,144075,E8
1189409,Functioneel beheer,143635,EW
1189410,Functioneel beheer,143636,E8
1189411,Functioneel beheer,144071,E8
1189412,Functioneel beheer,144070,E8
1189413,3e lijns (Technische incidenten),143592,EW
1189417,Functioneel beheer,144066,E8
1189418,3e lijns (Technische incidenten),73318,E8
1189419,2e lijns (Doorgezette incidenten),72987,EW
1189420,2e lijns (Doorgezette incidenten),72985,E8
1189428,2e lijns (Doorgezette incidenten),72973,E8
1189429,Hardware / Werkplekbeheer,73470,E8
1189431,2e lijns (Doorgezette incidenten),73447,E8
1189432,3e lijns (Technische incidenten),73289,EW
1189433,3e lijns (Technische incidenten),73288,E8
1189434,3e lijns (Technische incidenten),73289,E8
1189436,3e lijns (Technische incidenten),73294,E8
1189437,3e lijns (Technische incidenten),73329,E8
1189439,2e lijns (Doorgezette incidenten),17,E8
1189442,2e lijns (Doorgezette incidenten),5,E8
1189446,2e lijns (Doorgezette incidenten),5,E8
1189447,1e lijns beheer (Helpdesk),989,E8
1189450,2e lijns (Doorgezette incidenten),36,E8
1189451,2e lijns (Doorgezette incidenten),974,E8
1189452,Functioneel beheer,3906,E8
1189455,2e lijns (Doorgezette incidenten),21,E8
1189456,Functioneel beheer,1,E8
1189457,Functioneel beheer,6829,E8
1189459,Functioneel beheer,6930,E8
1189460,Functioneel beheer,2496,E8
1189462,Functioneel beheer,1324,E8
1189471,2e lijns (Doorgezette incidenten),1727,E8
1189473,Hardware / Werkplekbeheer,1410,E8
1189474,2e lijns (Doorgezette incidenten),1690,E8
1189476,2e lijns (Doorgezette incidenten),1680,E8
1189478,2e lijns (Doorgezette incidenten),1695,E8
1189479,2e lijns (Doorgezette incidenten),1788,E8
1189480,Hardware / Werkplekbeheer,3387,E8
1189481,Functioneel beheer,1657,E8
1189488,2e lijns (Doorgezette incidenten),1646,E8
1189489,Hardware / Werkplekbeheer,1744,E8
1189490,2e lijns (Doorgezette incidenten),1670,E8
1189494,2e lijns (Doorgezette incidenten),1742,E8
1189497,Functioneel beheer,2958,E8
1189499,2e lijns (Doorgezette incidenten),1618,E8
1189501,Functioneel beheer,1625,E8
1189503,2e lijns (Doorgezette incidenten),1599,E8
1189504,Hardware / Werkplekbeheer,1747,E8
1189507,2e lijns (Doorgezette incidenten),1605,E8
1189510,Functioneel beheer,1578,E8
1189513,2e lijns (Doorgezette incidenten),1642,E8
1189515,Functioneel beheer,1852,E8
1189516,2e lijns (Doorgezette incidenten),1559,E8
1189517,2e lijns (Doorgezette incidenten),1558,E8
1189523,2e lijns (Doorgezette incidenten),1631,E4
1189524,2e lijns (Doorgezette incidenten),1653,E8
1189525,Functioneel beheer,1570,E8
1189534,Functioneel beheer,1815,E8
1189536,2e lijns (Doorgezette incidenten),1527,E8
1189539,2e lijns (Doorgezette incidenten),1515,E8
1189547,Hardware / Werkplekbeheer,1573,E8
1189550,Functioneel beheer,1531,E8
1189551,2e lijns (Doorgezette incidenten),1537,E8
1189552,Hardware / Werkplekbeheer,1528,E8
1189555,1e lijns beheer (Helpdesk),1484,E8
1189558,Hardware / Werkplekbeheer,1578,E8
1189560,Hardware / Werkplekbeheer,1576,E8
1189563,2e lijns (Doorgezette incidenten),1489,E8
1189567,Hardware / Werkplekbeheer,1396,E8
1189568,Functioneel beheer,7196,E8
1189572,2e lijns (Doorgezette incidenten),1461,E8
1189577,Functioneel beheer,2946,E8
1189578,2e lijns (Doorgezette incidenten),1434,E8
1189579,1e lijns beheer (Helpdesk),1420,E8
1189580,Functioneel beheer,1422,E8
1189581,2e lijns (Doorgezette incidenten),1453,E8
1189583,2e lijns (Doorgezette incidenten),1425,E8
1189584,1e lijns beheer (Helpdesk),1399,E8
1189587,Functioneel beheer,2933,E8
1189591,2e lijns (Doorgezette incidenten),1405,E8
1189592,1e lijns beheer (Helpdesk),1388,E8
1189593,Functioneel beheer,1392,E8
1189596,2e lijns (Doorgezette incidenten),1398,E8
1189598,2e lijns (Doorgezette incidenten),1418,E8
1189599,2e lijns (Doorgezette incidenten),1389,E1
1189601,2e lijns (Doorgezette incidenten),1364,E8
1189603,2e lijns (Doorgezette incidenten),1370,E8
1189604,2e lijns (Doorgezette incidenten),1362,E8
1189605,2e lijns (Doorgezette incidenten),1453,E8
1189607,Hardware / Werkplekbeheer,1565,E8
1189609,2e lijns (Doorgezette incidenten),1349,E8
1189610,2e lijns (Doorgezette incidenten),1378,E8
1189612,1e lijns beheer (Helpdesk),1351,E8
1189613,2e lijns (Doorgezette incidenten),1335,E8
1189614,2e lijns (Doorgezette incidenten),1401,E8
1189615,2e lijns (Doorgezette incidenten),1641,E8
1189616,2e lijns (Doorgezette incidenten),1357,E8
1189617,Hardware / Werkplekbeheer,8433,E8
1189618,2e lijns (Doorgezette incidenten),1319,E8
1189619,2e lijns (Doorgezette incidenten),1370,E8
1189620,2e lijns (Doorgezette incidenten),1313,E8
